"Country","avg_daily_smokers","avg_total_smokers","avg_total_female_smokers","avg_total_male_smokers","Population","Code","Year","Continent"
"Portugal",22,1779889,455403,1324486,10196707,"PRT",2015,"Europe"
"Qatar",17,93619,1946,91673,2881060,"QAT",2015,"Asia"
"Romania",20,4730916,1563493,3167424,19237682,"ROU",2015,"Europe"
"Russia",22,37476212,9019976,28456236,145934460,"RUS",2015,"Europe"
"Rwanda",24,487746,119433,368314,12952209,"RWA",2015,"Africa"
"Saint Lucia",26,9735,2435,7300,183629,"LCA",2015,"North America"
"Saint Vincent and the Grenadines",103,6508,820,5689,110947,"VCT",2015,"North America"
"Samoa",22,26519,7132,19388,218764,"WSM",2015,"Oceania"
"Sao Tome and Principe",8,2414,399,2016,219161,"STP",2015,"Africa"
"Saudi Arabia",52,1448676,58498,1390178,34813867,"SAU",2015,"Asia"
"Senegal",18,458290,30741,427549,16743930,"SEN",2015,"Africa"
"Serbia",22,2070536,867945,1202592,6804596,"SRB",2015,"Europe"
"Seychelles",12,8949,1102,7847,98340,"SYC",2015,"Africa"
"Sierra Leone",6,432863,72355,360508,7976985,"SLE",2015,"Africa"
"Singapore",23,355821,47410,308411,5850343,"SGP",2015,"Asia"
"Slovakia",27,987988,314450,673539,5459643,"SVK",2015,"Europe"
"Slovenia",31,402393,170759,231634,2078932,"SVN",2015,"Europe"
"Solomon Islands",4,60099,16514,43585,707851,"SLB",2015,"Oceania"
"Somalia",24,409268,45221,364048,15893219,"SOM",2015,"Africa"
"South Africa",17,5227351,1204590,4022761,59308690,"ZAF",2015,"Africa"
"South Korea",25,10332182,959568,9372614,51640000,"KOR",2015,"Asia"
"Spain",22,10253068,4110059,6143010,46754783,"ESP",2015,"Europe"
"Sri Lanka",10,1601524,85515,1516009,21413250,"LKA",2015,"Asia"
"Sudan",15,1007190,141241,865950,43849269,"SDN",2015,"Africa"
"Suriname",119,19091,3523,15568,586634,"SUR",2015,"South America"
"Swaziland",26,32944,5866,27079,1192000,NA,NA,NA
"Sweden",18,1452770,767863,684908,10099270,"SWE",2015,"Europe"
